label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
present,17.5,17.25,17.75,17.5,17.25,18.0,17.75,18.0,17.0,17.25,17.5,17.75,17.75,18.0,18.0,18.5,17.25,17.25,17.75,18.0,17.5,17.25,17.25,18.0,17.5,17.25,17.75,17.75,18.0,17.0,17.0,17.5,17.25,17.75,17.25,17.25,17.5,17.25,17.0,17.0,17.75,17.25,17.25,17.5,17.0,17.25,16.75,18.0,16.5,17.0,17.0,17.0,17.0,17.25,17.25,17.75,17.0,17.5,17.25,17.0,17.25,17.0,16.75,17.25
empty,17.0,17.25,17.75,17.5,17.25,17.75,17.75,18.25,17.0,17.5,17.25,17.25,18.0,18.0,17.75,18.0,17.25,17.5,17.5,18.25,17.5,17.75,18.25,18.25,17.25,17.5,17.5,17.75,17.5,17.5,17.25,18.0,17.0,17.75,17.25,18.0,17.25,17.5,17.25,17.25,17.5,18.0,17.25,17.5,17.25,17.0,17.25,17.75,16.5,17.25,17.25,17.5,17.5,17.75,17.5,17.75,17.75,17.25,17.0,17.0,16.5,17.25,16.75,16.75
present,17.25,17.25,17.0,17.75,17.25,18.0,18.0,18.25,17.0,17.25,17.25,17.5,17.5,18.0,17.25,18.5,17.0,17.0,17.75,18.0,17.75,17.25,17.75,18.0,17.0,17.5,17.5,17.75,17.5,17.0,17.25,17.25,17.25,17.5,17.5,17.75,17.25,17.25,17.0,17.25,17.5,17.5,17.25,17.25,17.25,16.5,16.75,17.25,17.75,16.75,17.25,17.75,17.25,17.25,17.0,17.75,17.75,17.5,17.0,17.25,17.5,17.0,17.0,17.25
empty,17.5,17.5,17.75,18.0,17.5,17.75,18.0,18.25,17.0,17.5,17.25,17.5,17.5,18.25,17.5,17.75,17.0,17.5,17.75,17.75,17.25,17.25,18.0,18.25,16.75,17.75,17.5,17.5,17.5,17.0,17.0,17.25,16.75,17.75,17.5,17.75,16.75,17.0,17.0,17.5,17.0,17.5,17.0,17.25,17.75,16.75,16.75,17.75,17.25,16.75,17.25,17.25,17.0,17.5,17.0,17.0,17.5,17.0,17.75,17.25,17.0,17.0,16.5,17.0
present,17.0,17.25,17.5,17.5,17.0,17.75,18.0,18.25,17.25,16.5,17.25,17.25,17.75,18.25,17.75,18.25,17.0,17.5,17.5,18.0,17.25,17.75,17.75,17.75,17.5,17.25,17.5,17.75,17.5,17.25,17.5,17.25,17.25,17.25,17.5,17.25,17.0,17.0,16.25,17.25,17.5,17.25,17.5,17.5,17.0,17.0,17.0,17.75,16.75,17.25,17.0,17.0,17.0,17.5,17.0,17.5,17.75,17.25,17.0,16.5,17.75,17.0,16.75,17.5
empty,17.0,17.25,17.75,18.25,17.5,17.75,17.75,18.5,17.25,17.0,17.25,17.25,17.75,17.75,17.25,18.0,17.0,17.5,17.75,17.75,17.5,17.75,17.5,18.0,17.0,17.5,17.75,17.5,17.25,17.5,17.25,17.25,17.0,17.25,17.5,17.5,17.25,16.5,17.0,16.75,17.0,17.75,17.75,17.5,17.5,16.75,16.75,18.25,17.0,16.75,17.25,16.75,17.5,17.5,17.25,17.25,17.5,16.75,17.25,16.5,17.25,17.75,16.75,17.0
present,17.5,17.5,17.75,17.75,17.25,17.25,17.5,18.75,17.25,17.5,17.25,17.0,17.5,18.25,17.75,18.25,17.0,17.5,17.25,18.0,17.25,17.75,17.5,17.75,17.0,17.5,17.25,17.25,18.0,17.25,17.5,17.5,17.5,17.5,17.25,17.0,17.25,17.25,16.75,17.5,17.75,17.25,17.5,17.25,17.0,16.75,16.75,17.5,17.0,16.75,16.75,17.25,17.25,17.0,17.0,17.5,17.0,16.75,16.75,16.5,17.0,16.75,16.75,17.5
empty,17.25,17.0,17.25,17.5,17.25,17.75,17.75,18.25,17.25,17.0,17.25,17.75,18.25,17.75,17.5,17.75,17.0,17.0,17.25,17.25,17.25,17.5,17.25,18.0,17.0,17.25,17.25,17.5,18.0,17.0,17.25,17.75,17.0,17.5,17.5,17.25,17.25,17.25,16.5,17.0,17.5,17.25,17.25,16.75,17.25,16.75,17.25,17.5,17.5,17.25,17.0,17.25,17.25,17.25,17.0,17.0,17.25,16.75,17.25,17.25,17.0,17.0,16.5,17.0
present,17.75,17.0,17.75,18.0,17.75,17.75,18.25,18.5,17.0,16.75,17.25,17.5,17.75,17.5,17.5,18.0,17.5,17.75,17.75,17.5,17.0,17.75,17.5,17.75,17.25,17.25,17.5,18.0,17.75,17.5,17.25,17.5,17.0,17.25,17.25,17.5,17.0,17.0,17.0,17.5,17.75,17.25,17.5,17.25,17.5,16.75,17.25,17.25,16.75,17.25,16.75,17.5,16.75,17.25,17.0,17.5,17.25,16.75,16.75,16.5,17.5,17.0,17.0,18.0
empty,17.0,17.0,17.5,17.25,17.5,17.5,18.25,18.25,17.0,17.25,17.5,17.25,17.5,17.25,17.25,18.0,17.0,17.5,17.5,17.5,17.25,17.25,17.25,17.75,17.0,17.75,17.25,17.5,17.5,17.0,17.25,17.25,16.75,17.75,17.75,17.5,17.0,17.0,16.75,17.0,17.25,17.25,17.25,17.5,17.5,16.5,16.5,17.75,16.75,16.5,16.75,17.0,17.0,17.75,17.0,17.5,17.25,17.25,17.5,16.75,17.25,17.25,16.5,17.0
